question_list,label
jika kabel modem saya putus karna digigit tikus apakah perbaikannya akan berbayar?,Information
apakah biznet ada kompensasi jika internet saya mati berhari2?,Problem
kenapa jaringan saya bermasalah akhir akhir ini?,Problem
apakah boleh saya reset modemnya?,Request
internet saya lambat sekali kalau akses ke google.com,Problem
kenapa lan saya tidak terhubung ke port 1 modem?,Problem
apakah teknisi biznet bisa setting router tambahan saya?,Problem
Internet saya mati,Problem
promo ada ?,Information
mau promo 2+1,Information
Internet terputus min,Problem
mo relokasi,Request
mo ganti paket,Request
kendala lambat,Problem
bisa informasikan untuk pengajuan sponsorship ke Biznet?,Information
berapa harga pemasangan awal untuk layanan biznet home internet 1d untuk wilayah depok,Information
i want to buy promo,Information
total setelah ppn dan beli modem,Problem
saya mau relokasi,Request
Bisa informasikan bandwidth yang didapatkan apabila berlangganan Home Internet 1D?,Information
Harga paket 0D berapa?,Information
aKlau remote IPTV rusak order kembali biayanya berapa?,Information
Kalo harga paket 1D berapa?,Information
Cara cek nomor SN biznet dimana?,Information
Beli promo,Information
Kalo harga paket 2D berapa?,Information
Kalo harga paket gamers 3D berapa?,Information
Apakah Biznet menjual perangkat router tambahan untuk support jangakuan koneksinya?,Problem
"Kalo mau pasang, apakah ada biaya pasang min?",Information
Mau relokasi,Request
Harga paket 0D berapa min?,Information
kalo harga paket 1D berapa min?,Information
kalo harga paket 2D berapa min?,Information
"kalo untuk main game, cocoknya paket apa ya min?",Information
Kuota itu FUP ya min?,Problem
Kalau Saya mendapatkan Ping tinggi karena lambat apakah bisa dilakukan visit langsung?,Problem
Bisa informasikan bandwidth yang diterima Home Internet 1D?,Information
Paket apa yang tersedia untuk daerah sulawesi min?,Information
Sebutkan nama merk modem Biznet?,Problem
sudah restart masih lambat,Problem
Bisa informasikan dikenakan  berapa pajak pada layanan Biznet?,Information
Bisa informasikan store Biznet atau Branch terdekat dari bandara soekarno hatta?,Information
Apakah Harga layanan Biznet berubah-ubah?,Information
Bagaimana langkah-langkah saya untuk konfirgurasi modem secara mandiri?,Information
Bisa informasikan cara berlangganan?,Information
Internet lambat banget,Problem
ada promo,Information
internet lambat,Problem
biaya pasang baru berapa?,Information
Biaya relokasi biznet home?,Information
promo 2d home modem buy berapa?,Information
harga paket 1d,Information
harga pasang baru,Information
cara berhenti berlangganan,Information
ingin ikut promo 1D modem rent,Information
harga modem,Information
cara berlangganan,Information
Terkait permintaan pengajuan sponsopship,Request
Harga paket gamers biznet,Information
tanggal berapa biasanya dilakukan pembayaran auto debet untuk kartu kredit yang terdaftar di Biznet?,Information
bisa dicek ID pelanggan ini 1000? LOS merah menyala,Problem
Apakah akan dikenakan biaya tambahan jika alamat instalasi menggunakan jalur kabel bawah tanah?,Information
Hi kalo ingin ikut promo 3+1 gmn cara nya?,Information
putus sambung,Problem
promo bhi 1d,Information
Lemot ini,Problem
udah restart msh lemot,Problem
Internet saya ga gacor nih lambat mulu,Problem
ganti paket,Request
Cara pendaftaran,Information
mohon info paket apa saja,Information
Lambat,Problem
Sudah dilakukan semua tapi masih lambat,Problem
Internet Saya Down loss merah,Problem
Cek harga layanan Biznet,Information
koneksi lambat,Problem
batalkan ganti paket,Request
saya mau tanya harga bulanan,Information
berapa harga bulanan paket saya,Information
saya ingin pasang baru alkun tambahan,Request
internet lemot,Problem
kuota saya saat ini,Problem
saya mau tau harga paket saya,Information
sudah tapi masih lambat,Problem
apakah saya bisa menggunakan promo untuk paket saya?,Information
"ok, apakah saya sebaiknya ganti ISP saja?",Request
"kalau saya ingin ganti paket, paket mana saja yang bsia saya gunakan",Request
harga paling murah berapa?,Information
Harga modem berapa ?,Information
harga promo biznet ada?,Information
Owh oje kalok di tambah router bisa gak ?,Problem
Tambah router mesh wifi,Problem
cara pilih nya gimana,Information
kalau mau beli promo 3+1 gimaa caranya,Information
Oke saya sekarang mau beli promo,Information
Thank you kalok saya mau ganti paket bisa ?,Request
Kalok mau bayar bisa lewat mana ?,Information
Ada promo apa aja ya,Information
Kalo promo 6+2,Information
Nanya promo,Information
Kalo beli ekstra kuota gmn,Problem
Untuk paket apa aja ?,Information
Klo kuota abis bagaimana ?,Problem
Kalo change package gmn min,Information
Ini gimana caranya,Information
Kita udah install analyzer aman ngga ada masalah,Problem
Cara liat jumlah penggunanya gimana,Information
Cara mengganti paket gimana,Information
saya mau tanya untuk caranya gimana?,Information
Paket apa saja pilhannya ?,Information
Terus klaok dinpekan baru bisa oakek paket apa ?,Information
"Di modem saya ada los merah nih, harus ngapain ya?",Problem
Paket apa aja yg tersedia ?,Information
Cara mengajukan pergantian modem bagaimana?,Information
Masalah teknis,Problem
Estimasi relokasi biasaya berapa hari?,Request
internet saya lambat cuma dapet 10mbps,Problem
Saya mau cek promo yang tersedia hari ini layanan Biznet Home.,Information
Apakah harga layanan Biznet Home flat?,Information
cara melakukan ping dan tracert itu bagaimana?,Information
Bisa dibantu ping ke google.com?,Request
"Saya gapunya laptop, bisa tolong ping ke google.com?",Request
"Layanan internet saya lambat, boleh diinformasikan penyebab dan solusinya?",Information
kalo ingin terminasi gimana caranya?,Information
estimasi layanan jika melakukan terminasi berapa lama?,Request
Saya ingin mengetahui cara cek IP layanan Biznet home saya.,Information
Promo saat ini apa aja?,Information
apakah tidak ada promo 2+1?,Information
jika ingin mengetahui ip yang saya gunakan bagaimana?,Request
Boleh diinformasikan paket Gamers ada apa saja?,Information
reset FUP biasanya dilakukan kapan?,Request
"Saya ada keperluan ganti paket tapi masih panjang masa aktifnya, apakah bisa diproses sekarang?",Request
jika ada los merah pada modem saya itu kenapa?,Problem
saya ingin melakukan pembayaran bisa lewat mana saja?,Information
"Saya mau terminasi layanan, bagainmana prosesnya?",Request
Relokasi apabila tidak tercover bagaimana?,Request
bisa diinformasikan VA untuk bank yang tersedia?,Information
bagaimana cara cek ping dan tracert?,Information
Modem Biznet tipenya apa saja?,Problem
Apakah ada ketentuan untuk rekoneksi layanan yang sudah lama tidak dibayarkan?,Information
mau beli kuota,Problem
harga paket 0D,Information
harga paket 1D,Information
harga paket 2D,Information
saya mau beli promo,Information
harga paket 3D,Information
harga paket 0DS,Information
harga paket 1DS,Information
harga paket 2DS,Information
harga paket 3DS,Information
harga paket 0DW,Information
harga paket 1DW,Information
harga paket 2DW,Information
harga paket 3DW,Information
harga paket 1DN,Information
harga paket 2DN,Information
harga paket 3DN,Information
berapa harga pembelian modem,Information
berapa harga modem menyewa,Information
"bagaimana jika ingin perpindahan modem, namun alamat barunya tidak tercakup",Request
bagaimana cara perpindahan modem ke lokasi yang baru,Information
apakah ada garansi pembelian modem di awal,Problem
berapa harga STB,Information
"jika status akun sudah terminasi, apakah bisa berlangganan lagi?",Request
saya mau relokasi ke dalung,Request
apakah akan dikenakan biaya?,Information
apakah akan dikenakan denda jika ada keterlambatan pembayaran,Information
"bagaimana jika ada kesalahan pembayaran, apakah bisa direfund",Information
apakah bisa melakukan pergantian paket,Request
apakah bisa melakukan pergantian data,Request
apakah jika dilakukan perbaikan teknisi ke lokasi dikenakan biaya,Information
berapa lama estimasi perbaikan gangguan,Problem
Apakah dikenakan biaya jika ingin perubahan paket,Information
berapa harga pembelian modem layanan home?,Information
apakah biznet memiliki promo pembayaran,Information
Berapa biaya untuk pengajuan relokasi?,Information
apakah bisa memanggil teknisi biznet untuk memasangkan router tambahan,Problem
Berapa biaya untuk pengecekan layanan di luar segmentasi biznet?,Information
"halo, saya ingin berlangganan internet & tv",Request
kendala jaringan internet modem los merah,Problem
bagiamana cara cek FUP paket?,Information
bagaimana cara mengetahui jika ada gangguan,Information
cara ganti password secara mandiri?,Information
biaya per bulan berapa?,Information
cara order promo secara mandiri?,Information
Berapa harga layanan IPTV?,Information
apakah ganti paket akan mengakumulasikan masa aktif yang sedang berjalan?,Request
order promo yang tersedia saat ini?,Information
bagaimana jika kita telat melakukan pembayaran apakah adanya denda?,Information
estimasi waktu pembayaran jika melakukan order promo?,Information
Cara ganti password mandiri gimana?,Information
mau beli promo,Information
mau relokasi,Request
mau ganti paket,Request
mau order promo,Information
Mai order promo,Information
Hi sisa ekstra kuota saya brp?,Problem
jika ingin tambah ekstra kuota gmn?,Request
lambat banget main ayodance,Problem
Internya loss merah kak,Problem
Indikator loss di modem,Problem
Internet lambat,Problem
Apakah saya bisa berlangganan hanya 3 bulan saja dengan skema modem menyewa?,Problem
"Jika ingin reloksi ke alamat barun dan alamat baru saya sudah tercakup, syaratnya apa saja?",Request
"hallo,saya ingin melakukan pengecekan FUP akun layanan saya",Request
"Jika saya melakukan pergantian paket dan masa aktif saya masih tersisa dipaket sebelumnya, apakah sisa masa aktif tersebut akan hangus?",Request
"Saya ingin melakukan pembayaran dengan promo tetapi masa aktif saya masih sampai dengan 30 Desember 2024, apakah jika saya melakukan pembayaran hari ini masa aktif akan terkakumulasi?",Information
Apakah bisa dinformasikan untuk Type modem yang disediakan oleh biznet?,Information
Jika berlangganan dengan skema modem membeli apakah ada garansi modemnya?,Problem
Mohon diinformasikan promo apa saja yang berlaku saat ini untuk pelanggan lama?,Information
Untuk layanan Biznet Home apakah menyedaiakan invoice pembayaran?,Information
"Saya ingin melakukan pergantian data nama akun, sayarat nya bisa diinformasikan apa saja?",Information
Harga paket 1D berapa?,Information
Untuk pengaduan bisa diinformasikan melalui apa saja saat ini?,Information
berapa harga produk di biznet,Information
Apakah biaya installasi awal setiap daerah berbeda?,Information
"Akun saya sebelumnya sudah terminated dengan skema modem membeli lalu ingin berlangganan kembali, apakah modemnya dapat digunkan kembali?",Request
harga paket 2D berapa?,Information
Bagaimana cari ganti password wifi?,Request
Mohon diinformasikan untuk metode pembayaran layanan Biznet bisa melalui apa saja?,Information
Bagaimana Cara sembunyikan SSID wifi?,Information
Promo layanan Biznet?,Information
Berapa harga promo 3+1 daerah kota surabaya?,Information
Berapa harga promo 6+2 daerah Yogyakarta?,Information
Berapa harga promo 9+3 daerah Bandung?,Information
Berapa harga promo 12+5 daerah Jakarta selatan?,Information
Harga add on IPTV?,Information
Bagaimana cara restart modem?,Information
"Jika ingin pindah alamat, namun lokasi baru tidak tercakup, bagaimana?",Request
Penyebab jaringan lambat karena apa?,Problem
cara membeli add on kuota?,Information
Kalo beli modem harganya berapa ya??,Information
ingin beli extra kuota,Request
loss merah,Problem
harga produk biznet,Information
ingin membeli kuota,Request
Internet aga lambat,Problem
harga modem biznet home,Information
cara login my biznet,Information
Modem los,Problem
tidak saya ingin membeli modem biznet baru,Request
saya maut ambah modem,Problem
ya router mesh wifi,Problem
Los modem min,Problem
Los,Problem
Harga modem,Information
modem saya loss,Problem
Promo,Information
Ingin cp,Request
Change package,Information
Bisa gak aku config modem manual ?,Problem
Bisa gak config modem mamual?,Problem
Oke kalok mai ganti pw wifi ?,Request
Terus kalok promo ada gak?,Information
Kalok pkek kabel bawah ranah kenak biaya gak ?,Information
Kalok bolej tau reminder pembayaran dikirim kapan ?,Information
Ada modem wireless gak ?,Problem
Apakah tidak ada promo beli modem ?,Information
Cara bayar via mandiri,Information
Cara download aplikasi my biznet dimana ?,Information
Cara diwnload aplikasi my biznet domana?,Information
Biaya pasang baru biznet berapa ?,Information
Kalok harga relokasi home ?,Information
Kalok mau langganan caranya gemana ?,Information
Yep nambah router mesh wifi,Problem
Oke cara belinya gmn ?,Information
Kalok harga paket 0d brrapa?,Information
Tapi kenapa tadi infonya 0dw bukan 0d?,Information
Oke terus kapan reminder pembayaran dikirim?,Information
Oke lalu kalok modem saya los merah saya harus apa ?,Problem
Estimasi waktu bayar promo,Information
saya mau ganti paket,Request
Saya ingin ganti paket ke Gamers 3D,Request
Berbicara dengan cs,Information
internet di rumah tidak bisa dipake,Problem
harga 1D,Information
"Mau tanya tentang Biznet Home, ada paket apa ajaa?",Information
Bisa dititalin untuk Biznet Home 3D? beli modem,Problem
Totalin harga untuk ini berapa? sewa modem,Information
Kalo modem sewa totalnya berapa?,Problem
kalo beli modem?,Problem
saya mau pasang baru dengan beli modem dan paket Biznet Home 3D,Problem
kenapa sih jaringan saya suka terputus sambung?,Problem
Kalau saya terhalang sekat bagaimana Kak? soalnya modemnya jauh dari area yang saya gunakan,Problem
kenapa sering sekali terjadi kendala loss merah?,Problem
itu dikenakan biaya tidak?,Information
Kalau ada gangguan area perbaikannya sampai kapan?,Problem
kenapa koneksi inet saya lemot banget ya?,Problem
bisa gk saya minta proses nya hanya 2 hari,Request
klo saya mau terminasi gimana?,Request
saya beli modem waktu itu dan tidak ada penjelasan kontrak,Problem
Ada promo pembayaran?,Information
Area Jawa ada paket apa saja?,Information
Kalau mau promo bisa telfon ke mana?,Information
Bisa ganti paket sekarang?,Request
Gimana caranya?,Information
Promo saat ini?,Information
Harga promo 9+3?,Information
Internet saya terputus putus,Problem
saya mau cek jumlah perangkat yg terhubung ke modem saya,Problem
informasi promo,Information
mau ganti paket gimana caranya,Information
Masa aktif saya hingga 2025 ya. Apakah bisa mengikuti salah satu promo tersebut?,Information
Change package with another ID,Information
Internet saya terputus putus tiap malam,Problem
Apakah ada promo tahunan?,Information
Change package with  another ID,Information
Bisa ga kalo saya ganti paket layanan dibawahnya?,Request
Internet mati ni,Problem
promo 3+1 berapa,Information
untuk biaya relokasi itu berapa ya min?,Information
proses terminasi,Request
promo 6+2 berapa,Information
Ingin merubah paket,Request
i wanna ask to create a trouble ticket,Problem
ingin ganti paket aja,Request
Cara relokasi bagaimana?,Information
Berapa biaya relokasi?,Information
bagaimana cara cek cakupan area?,Information
Saya mau relokasi,Request
Bagaimana apabila alamat baru tidak tercakup untuk relokasi?,Request
Request dong mau ikut promo,Information
Ada biaya penalty untuk terminasi?,Information
ada promo apa bulan ini?,Information
Kalau karena internet lambat apakah ada penalty untuk terminasi?,Request
Info produk Biznet home,Information
Saya mau tanya pembayaran biznet bisa apa saja.,Information
aku gabisa bayar lewat VA BCA,Information
bisa di jelaskan detail harga masing masing dari promo tersebut,Information
berapa harga layanan Biznet Home Internet 1D,Information
apakah bisa diinformasikan status perangkat modem saya ini sewa atau beli?,Information
saya ingin tanya Biznet,Request
mau nanya desember ini ada promo apaan aja ya?,Information
Tolong cek jaringan saya,Request
lagi ada promo apa yah?,Information
Berapa harga 1 unit IPTV?,Information
Mau ikut promo bisa,Information
saya ga bs bayar via VA,Information
boleh diinformasikan promo Biznet Home?,Information
selain itu ada promo apa lagi? itu doang?,Information
ada paket apa saja di biznet home?,Information
Kalau kendala internet mati saya harus bagaimana?,Problem
Bayar promo,Information
cara berlangganan baru bagaimana?,Information
apakah pembayarannya bisa menggunakan kartu kredit?,Information
tanya produk,Information
mau ganti paket ke Biznet Home yang lebih tinggi,Request
Pembayaran lewat UOB bisa atau tidak?,Information
gak ada promo spesial tahun baru?,Information
ikut promo,Information
kalau pasang baru apa dapat promo juga?,Information
Promo 2025,Information
promo di nusa tenggara,Information
sudah restart modem masih sama,Problem
"Kalau tidak ada lampu merah LOS, namun lampu PON berkedip, apa yang harus saya lakukan?",Problem
kurang menarik promonya,Information
Apakah tidak ada promo tahun baru?,Information
apakah ada promo khusus untukku?,Information
cara daftar nya gimana?,Information
Saya ada kendala pembayaran nih,Information
Promo apa yang saat ini tersedia?,Information
ada indikator loss merah,Problem
Kalo mau relokasi dong,Request
nanya perihal promo,Information
bisa diinformasikan biaya bulanan saya saat ini berapa?,Information
Mau bayar,Information
Bagaimana cara cek ping dan tracert apabila ada kendala akses website?,Information
Gimana promo nya,Information
sebutkan cara yang lengkap untuk pergantian data,Information
cara bayar biznet home ?,Information
kabel nya ada yang putus kaya nya min,Problem
bayar dengan cara di cicil apakah bisa ?,Information
apakah ada promo 6+6?,Information
bayar dengan cara hutang ?,Information
minta nomornya,Request
jadi bagaimana cara termudah untuk dapat saya order promo tersebt,Information
promo 2+1 saja,Information
"selain kartu kredit, pembayarannya bisa menggunakan apa aja ya?",Information
Apakah ada promo 2+1,Information
Bisa di info aja nomor va buat bayar,Information
Untuk promo nya?,Information
apakah bisa untuk relokasi?,Request
Promo 12+5,Information
tolong di bantu promo 3+1,Information
tagihan di bayarin teman ?,Information
"masih kemahalan promonya, ada promo yang lebih murah nggk?",Information
pembayarannya bisa di store terdekat gak?,Information
bagaimana kalo tagihan belum dibayarkan ?,Information
saya mau promo yang 2+1 ada nggak?,Information
"di my biznet no promo available, kenapa?",Information
Lambat internet,Problem
Tidak jadi ikut promo,Information
boleh dibantu promo apa saja yang berlaku?,Information
"saya ingin melakukan pembayaran namun nama yang tertera pada virtual account saya tidak sesuai, saya harus bagaimana",Information
pembayarannya bisa di branch terdekat gak?,Information
pembayaran di tolak,Information
Bagaimana cara ganti ssid dan password wifi?,Information
Coba cek sama minta teknisi cek ke rumah,Request
ada promo gak?,Information
kalau metode pembayarannya bisa dengan apa saja?,Information
cara pembayaran mebbunakan livin mandiri,Information
Langsung aja kirim teknisi,Request
cara bayar,Information
Saya sudah bayar tapi internetnya belum bisa digunakan. Kenapa ya?,Information
berapa maksimal power modem min?,Problem
pemasangan baru promo tahunan jadi berapa?,Information
tagihan dan virtual account berbeda ?,Information
cara lain ada ngga,Information
"Saya sudah bayar, kenapa masih ada tagihan di virtual account?",Information
dan info adik saya lagi kendala,Information
Apakah bisa melakukan pembayaran dengan kartu kredit?,Information
promo untuk tahun depan apa ya?,Information
Tolong diinformasikan paket layanan yang tersedia untuk rumah saya,Information
tidak ada promo free biaya instalasi?,Information
harganya berapa?,Information
koneksi dirumah saya lemot yah,Problem
apa bisa mendaftarkan autodebet untuk pembayaran biznet?,Information
Mau beli promo,Information
saya minta info promo lagi dong,Information
Cara bayar tokopedia,Information
"kenapa gak bisa bantu cek, kan IDnya sudah saya info",Information
"Saya tidak bisa bayat, Infonya no anda tidak terdaftar,",Information
ada promo untuk iptv?,Information
"minta detail dan pastinya dong buat harga dari promo, lebih baik saya pilih ya mana nih?",Information
Saya membutuhkan layanan internet dengan penggunaan IP Static apakah Biznet menyediakan?,Request
kalau terdaftar autodebet apakah tetap bisa mengikuti promo?,Information
bagaimana cara untuk pemutusan jaringan?,Information
udh restart router masih sama,Problem
Saya gabisa bayar,Information
Kalau terdaftar autodebet bagaimana langkah untuk terminasi?,Request
Saya ada kendala pembayaran,Information
bukannya promo 12+5 itu benarnya  12+6 ya,Information
jadi dari sini urang update informaisnya ya?,Information
Kalau begitu cara pendaftaran layanan Biznet Home bagai mana?,Information
Berapa lama proses terminasi?,Request
saya ada 2 router dengan 15 perangkat,Problem
apakah tidak ada biaya waive untuk pinalty nya,Information
misal saya baut order berapa lama linknya bisa dibayar ya?,Information
Mau rubah password gimana caranya?,Information
promo yang available apa aja ya?,Information
"Kalau sudah isi formulir terminasi namun ada tagihan masuk ke email, apa yang harus saya lakukan?",Information
"Saya mau yang layanan Biznet Home Internet 1D, tolong saya diberikan detail harganya?",Information
Apakah ada promo 6+6?,Information
kemarin saya ditawarin promo itu,Information
bayar lewat mana cok,Information
Tolong berikan saya detail harganya termasuk dengan PPN dengan sewa modem,Information
kendala tagihan berbeda,Information
kalo buat bayar lebih cepat lewat mana ya?,Information
produk yang murah meriah,Information
router apa yg recomended?,Problem
"Saya mau yang dengan beli modem saja deh, tolong berikan detail harnganya Kak",Request
bayarin dong min,Information
kalau produk lainnya apa aja ya,Information
bulan depan gua ganti,Request
Mau tau cara ganti password wifi gimana ya?,Information
"saya mau pasang iptv, berapa harga untuk pemasangan paket iptv?",Information
tolong transferin uang ke saya dong buat bayar biznet ini,Information
"kan lu assisten, bantuin gua lah buat bayar ini tagihan",Information
Kalo ganti password Wifi gimana?,Request
Apakah ada promo berlangganan baru saat ini?,Information
"iya kendala bayar, karena uangnya belum ada, gimana nih bot",Information
internet tidak bisa digunakan,Problem
Untuk area sumatra ada paket apa aja?,Information
"Boleh, tolong beritahu saya paket layanannya apa saja",Request
"iya kapan tanggalnya, butuh tanggal pastinya jatoh di tanggal berapa",Request
Cara change data dong,Information
sisa kuota saya brp?,Problem
"Kalau ada kabel yang terputus, berapa lama tim teknisi akan datang melakukan perbaikan?",Problem
emang itu kalo nggak bayar bakal di ambil modemnya,Information
saya mau ikut promo 8+4,Information
saya taunya modem sajya sewa atau beli dimana?,Problem
Apakah layanan saya bisa dilakukan relokasi ke daerah sumatra barat?,Request
Mau change emial aku bisa ga di Biznet,Information
Mau promo 12+5 ada ga?,Information
"ya ga mau tau, saya kemarin ditawarin promo 8+4",Information
Tolong berikan saya detail harganya untuk paket internet dan IPTV,Information
"Saya salah bayar ke nomor virtual account orang lain, apa yang harus saya lakukan?",Information
Untuk pembayaran kemana ya?,Information
Apa kesalahan bayar ke akun lain bisa direfund?,Information
Kalo ganti paket gimana?,Request
apakah bisa mengganti email dan nomor hp di kaun?,Request
apa bisa ganti kepemilikan biznet?,Request
kalo mau ikut promo 3+1 gmn ya?,Information
Apakah bisa mengganti nama menggunakan nama PT?,Request
"Masa aktif masih 3 bulan lagi, mau change packet bisa min?",Information
pembayaran apa saja yang disediakan oleh biznet,Information
"Masa aktif masih 3 bulan lagi, mau ikut promo bisa?",Information
saya bisa dapet promo apa?,Information
kenapa saya menerima tagihan atas nama orang lain?,Information
bisa dirincikan untuk biaya promonya?,Information
"tidak ada promo tersedia di my Biznet, gimana?",Information
internet aku putus min tidak bisa dipakai,Problem
bagaiamana cara setting router?,Information
Maksudnya setting router tambahan atau extender,Problem
saya mau promo 12+5,Information
Promo terbaru,Information
pembayaran biznet home bisa make bank apa aja ya??,Information
Promo desember apa,Information
Saya tidak bisa bayar VA BCA,Information
Kalo modem dibawa pindah sendiri bisa ngga,Problem
Apabila saya berlangganan dengan sewa modem apakah nantinya bisa beli perangkat modem?,Problem
internet mati,Problem
Apabila nanti saya terminasi lalu saya berlangganan lagi apakah bisa?,Request
kalo saya bayar di jam 12 malam apakah bisa langsung aktit atau bertambah?,Information
min internet saya mati,Problem
internet saya mati nih,Problem
ini juga koneksi internetnya putus nyambung,Problem
ada promo apa?,Information
saya mau tanya produk biznet home apa saja,Information
i have red blinking lamp on my modem what should i do?,Problem
lagi ada promo apa min?,Information
Boleh minta metode pembayaran layanan Home,Information
kalo saya mau relokasi gimana caranya?,Information
ngga bisa di info disini ya,Information
caranya bagaimana,Information
indikator modem jika down,Problem
saya sudah restart tapi masih mati,Problem
min internet mati,Problem
bagaimana caranya login ke mybiznet ?,Information
saya mau tanya tentang promo,Information
soalnya ini internet lambat,Problem
promo biznet home,Information
tanya promo yang ada,Information
sudah di restart koneksi jadi mati,Problem
saya mau ganti paket ke yg lebih murah gimana caranya?,Information
untuk pembayaran apakah bisa ditangguhkan,Information
please help me order promo 3+1,Information
apa ada promo yg tersedia saat ini?,Information
Indikator modem huwawei saya berwarna merah,Problem
dikarenakan kondisi keuangan saya maka saya minta ditangguhkan dibulan depan,Request
relokasi,Request
sudah di restart tapi kendala lambat masih juga ya,Problem
ada paket apa saja IPTV?,Information
berapa harga modem?,Information
"halo, apa bisa dibantu untuk berlangganan",Request
Hi bella saya ingin cek internet saya apakah aman di sistem?,Request
saya ada kendala internet dilokasi tidak bisa digunakan dan ada loss merah,Problem
promo metronet,Information
saya ingin tau dulu harganya,Information
Kendala internet loss merah,Problem
terima kasih untuk ganti modem gimana,Request
Promo metronet,Information
Apakah modem Biznet sudah 1G,Problem
"mau tanya paket promo yang tersedia skrg, tidak mau ke customer service",Information
harga modem berapa?,Information
Saya tidak bisa melakukan pembayaran melalui Bank Danamon,Information
untuk promo biznet home ada apa saja?,Information
"Min internet saya putus sambung dari sore tadi, modem ga di otak atik",Problem
